Date,Open,High,Low,Close,VWAP,Adjusted vwap,Volume
7-Nov-19,16.2,16.3,15.6,15.75,15.85,15.85,"672,200"
6-Nov-19,15.75,16.3,15.75,16,16,16,"7,291,200"
5-Nov-19,15.8,15.95,15.6,15.7,15.75,15.75,"2,979,500"
4-Nov-19,15.15,16,14.75,16,15.7,15.7,"10,955,100"
1-Nov-19,14.65,16,14.65,15,15.8,15.8,"4,758,500"
31-Oct-19,14.3,14.65,14.15,14.65,14.55,14.55,"2,928,800"
30-Oct-19,13,13.75,13,13.75,13.35,13.35,"2,803,600"
29-Oct-19,13,13,12.5,12.6,12.5,12.5,"1,491,000"
28-Oct-19,12.5,12.6,12.2,12.5,12.5,12.5,"578,300"
25-Oct-19,12.85,12.5,12.3,12.5,12.5,12.5,"601,000"
24-Oct-19,12.5,12.5,12.3,12.4,12.45,12.45,"514,500"
23-Oct-19,12.45,12.9,12.4,12.4,12.5,12.5,"658,100"
22-Oct-19,12.85,12.85,12.5,12.6,12.6,12.6,"736,700"
18-Oct-19,12.4,12.75,12.2,12.7,12.45,12.45,"244,700"
17-Oct-19,12.3,12.65,12.2,12.4,12.45,12.45,"681,900"
16-Oct-19,12.45,12.5,12,12,12.05,12.05,"64,500"
15-Oct-19,12.15,12.45,12,12.1,12.1,12.1,"117,100"
14-Oct-19,12.7,12.75,12,12,12.05,12.05,"212,400"
11-Oct-19,12,12.45,12,12.25,12.1,12.1,"885,200"
9-Oct-19,12.05,12.1,12,12,12,12,"97,900"
8-Oct-19,12.05,12.25,12,12.05,12.05,12.05,"1,462,800"
7-Oct-19,12.2,12.2,12,12.05,12,12,"278,900"
4-Oct-19,12,12.25,12,12.1,12.05,12.05,"54,300"
3-Oct-19,12,12.25,11.9,12.25,12.05,12.05,"364,500"
2-Oct-19,11.9,12.2,11.9,12,12,12,"128,300"
1-Oct-19,11.85,12.2,11.85,12,12,12,"129,600"
30-Sep-19,11.85,12.1,11.8,11.8,11.9,11.9,"79,700"
27-Sep-19,11.8,12,11.5,12,11.8,11.8,"1,034,300"
26-Sep-19,11.85,11.95,11.65,11.7,11.8,11.8,"328,000"
25-Sep-19,11.95,11.95,11.85,11.85,11.9,11.9,"195,700"
24-Sep-19,12.5,12.5,11.85,11.95,11.95,11.95,"70,100"
23-Sep-19,12.1,12.5,11.8,12,12,12,"2,476,400"
20-Sep-19,12.05,12.25,11.9,12.1,12.1,12.1,"2,056,900"
19-Sep-19,12,12.3,11.95,12,12.05,12.05,"367,400"
18-Sep-19,12.15,12.3,12,12.2,12.1,12.1,"5,223,100"
17-Sep-19,12.05,12.35,12,12,12.1,12.1,"151,300"
16-Sep-19,12.35,12.35,11.95,12,12.05,12.05,"70,200"
13-Sep-19,11.2,12.2,11.6,11.95,11.95,11.95,"70,600"
12-Sep-19,11.55,12,11.55,11.85,11.8,11.8,"78,700"
11-Sep-19,11,12,11,11.5,11.35,11.35,"6,453,200"
10-Sep-19,11.35,11.35,10.95,11,11,11,"3,775,700"
9-Sep-19,11.4,11.4,11,11.35,11.15,11.15,"199,200"
6-Sep-19,10.5,11.4,10.5,11.3,11.3,11.3,"2,395,300"
5-Sep-19,11.4,11.4,11.3,11.4,11.4,11.4,"2,663,300"
4-Sep-19,11.35,11.5,11.25,11.4,11.35,11.35,"179,000"
3-Sep-19,11.45,11.45,11.35,11.45,11.4,11.4,"235,200"
2-Sep-19,11.4,11.6,11.35,11.5,11.45,11.45,"47,900"
30-Aug-19,11.4,11.5,11.35,11.4,11.4,11.4,"493,900"
29-Aug-19,11.4,11.4,11.3,11.35,11.35,11.35,"76,400"
28-Aug-19,11,11.6,11.3,11.35,11.3,11.3,"308,200"
27-Aug-19,11.3,11.95,11.2,11.8,11.35,11.35,"233,100"
26-Aug-19,11.5,11.55,11.05,11.3,11.3,11.3,"209,300"
23-Aug-19,11.8,11.85,11.4,11.45,11.45,11.45,"275,200"
22-Aug-19,11.85,11.85,11.3,11.45,11.5,11.5,"2,679,000"
21-Aug-19,11.9,11.9,11.75,11.9,11.85,11.85,"183,200"
20-Aug-19,11.9,12,11.8,11.85,11.85,11.85,"58,300"
19-Aug-19,12,12,11.75,12,11.85,11.85,"96,900"
16-Aug-19,12,12.4,11.9,11.9,11.95,11.95,"57,200"
15-Aug-19,12,12.4,11.95,12,12,12,"74,700"
14-Aug-19,12.2,12.4,11.95,12,12,12,"259,300"
13-Aug-19,12,12.1,11.95,12.05,12.05,12.05,"258,600"
9-Aug-19,12.45,12.45,12,12.05,12.1,12.1,"211,100"
8-Aug-19,12,12.45,12,12.45,12.1,12.1,"4,419,600"
